,overall_qual,1st_flr_sf,2nd_flr_sf,total_bsmt_sf,gr_liv_area,garage_area,garage_cars,year_built,year_remod/add,full_bath,lot_area
0,6,908,1020,1020,1928,440,1,1910,1950,2,9142
1,5,1967,0,1967,1967,580,2,1977,1977,2,9662
2,7,664,832,654,1496,426,2,2006,2006,2,17104
3,5,968,0,968,968,480,2,1923,2006,1,8520
4,6,1394,0,1394,1394,514,2,1963,1963,1,9500
5,4,546,546,546,1092,286,1,1972,1972,1,1890
6,4,1093,0,869,1093,308,1,1958,2006,1,8516
7,5,1268,0,1268,1268,252,1,1977,1989,1,9286
8,7,840,840,840,1680,588,2,2004,2004,2,3515
9,6,1279,0,1196,1279,473,2,1977,1977,2,10125
10,6,1217,0,1217,1217,484,2,1991,1991,2,7175
11,6,1040,0,1040,1040,320,2,1925,1992,1,7200
12,6,1375,0,1367,1375,451,2,1954,1954,1,11310
13,7,1168,1619,1168,2787,820,4,2000,2000,4,7976
14,6,1017,810,848,1827,240,1,1924,1996,1,11737
15,5,1340,0,0,1340,252,1,1957,2006,1,9060
16,6,884,552,884,1436,828,2,1940,1950,2,10800
17,5,1073,0,1073,1073,340,1,1956,1956,1,9571
18,6,1773,0,1313,1773,418,2,1961,1992,2,10800
19,8,916,826,916,1742,424,2,1882,1986,1,17671
20,5,1060,0,1060,1060,270,1,1968,2001,1,8246
21,5,864,0,864,864,732,2,1961,1961,1,8499
22,6,1617,0,1604,1617,533,2,1993,1994,2,8012
23,6,988,0,938,988,540,2,1969,1969,1,21453
24,7,1218,0,1218,1218,576,2,2007,2007,1,9605
25,5,864,0,864,864,352,1,1972,1972,1,7180
26,4,1281,457,715,1738,368,1,1920,2007,2,12513
27,5,1089,661,636,1750,240,1,1880,1991,1,9000
28,6,1054,0,936,1054,480,2,1963,1963,1,8800
29,3,442,228,370,670,0,0,1945,1950,1,3500
30,4,858,0,858,858,684,1,1971,1971,1,7340
31,4,848,0,780,1208,539,2,1925,1950,1,6240
32,7,1320,1320,1240,2640,864,4,1880,2003,1,11700
33,5,1178,0,1176,1178,439,2,1973,2000,1,10000
34,7,1492,0,1492,1492,608,2,2001,2001,2,11166
35,7,608,850,608,1458,454,2,2006,2007,2,13204
36,4,1147,510,1147,1657,162,1,1920,1980,1,5520
37,4,998,0,0,998,460,2,1945,1950,1,9000
38,5,910,0,105,910,414,2,1953,1996,1,8892
39,7,1358,0,1339,1358,625,2,1999,2000,2,7321
40,6,612,612,612,1224,528,2,2009,2009,2,3951
41,7,956,930,930,1886,431,2,1998,1999,2,11214
42,5,1327,0,1063,1327,624,2,1959,2002,1,7388
43,5,1363,0,1008,1363,288,1,1951,2000,1,14559
44,7,1501,0,1501,1501,512,2,1987,1987,2,4054
45,4,798,546,546,1344,0,0,1970,2008,1,1533
46,7,920,866,920,1786,608,2,2001,2002,2,11250
47,5,965,0,828,965,300,1,1965,1965,1,7800
48,5,936,0,936,936,308,1,1956,2000,1,5868
49,5,1040,0,1040,1040,308,1,1963,1963,1,7500
50,5,912,336,912,1248,160,1,1930,1950,1,9439
51,8,1157,1111,346,2268,624,2,1890,2002,3,9000
52,8,1615,0,1615,1615,864,3,2007,2007,2,9345
53,5,803,557,803,1360,297,1,1938,1995,1,7200
54,5,822,320,468,1142,320,1,1924,1950,1,6000
55,6,1026,0,1026,1026,440,2,1969,2005,1,7930
56,7,1133,687,1026,1820,240,1,1925,1950,2,9120
57,5,1344,0,1024,1344,484,1,1958,1983,1,9503
